setores
AMBULATORIO
CENTRO CIRURGICO
CLINICA MEDICA
CME
COORDENAÇÃO
EMERGENCIA
NAC
NEONATOLOGIA
NIR
OBSERVAÇÃO
SAD
SESMT
UTI
RESERVA TECNICA EIXO AZUL
RESERVA TECNICA CENTRO CIRURGICO EIXO VERMELHO
